Dorsal,Nombre,Posicion,SPosicion,Edad,Extracomunitario,VMercado,Ficha
1,Thibaut Courtois,Portero,,1992,NO,20,Profesional
2,Daniel Carvajal,Central Derecho,Banda Derecha,1992,NO,8,Profesional
3,Eder Militao,Central,Central Derecho,1998,NO,30,Profesional
4,David Alaba,
5,Jude Bellingham,
6,Eduardo Camavinga,
7,Vinicius Junior,
8,Federico Valverde,
9,Kylian Mbappe,
10,Luka Modric,
11,Rodrygo,
